"ranks","name","year","rating","over.votes","X10","X9","X8","X7","X6","X5","X4","X3","X2","X1","men_rating","women_rating","men_votes","women_votes"
1,"The Shawshank Redemption",1994,9.2,2634220,1450954,674971,307576,97870,29451,15331,7359,5428,5012,40268,9.3,9.2,1469453,293489
2,"The Godfather",1972,9.2,1825676,943564,453152,224855,88622,33550,18600,9504,7014,6559,40256,9.2,8.9,1068021,165474
3,"The Dark Knight",2008,9,2605458,1181031,733196,394977,151159,53736,25318,12398,8781,8090,36772,9,8.7,1485131,266179
4,"The Godfather Part II",1974,9,1252247,539428,359221,193966,78070,29112,14184,6864,4848,4346,22208,9,8.8,756501,105109
5,"12 Angry Men",1957,8.9,777876,284101,251623,148250,53293,17235,7054,3230,1996,1703,9391,9,8.9,451029,76452
6,"Schindler's List",1993,8.9,1336344,502160,421804,241738,89560,29431,14255,6798,4983,4694,20921,9,9,755007,170291
7,"The Lord of the Rings: The Return of the King",2003,8.9,1807152,777115,475759,295162,127519,48640,23806,11703,8576,7039,31833,9,8.9,1034294,219545
8,"Pulp Fiction",1994,8.8,2016243,733754,598682,372840,158187,57993,29537,15600,11352,9772,28526,9,8.5,1150077,221146
9,"The Lord of the Rings: The Fellowship of the Ring",2001,8.8,1829237,696314,505974,347679,145580,51167,24721,11888,8946,7453,29515,8.8,8.8,1030092,230823
10,"Il buono, il brutto, il cattivo",1966,8.8,752817,267084,217048,152707,65264,20800,9520,4330,2733,2246,11085,8.9,8.4,493639,49316
11,"Forrest Gump",1994,8.8,2039054,699306,622101,421914,170339,57395,25398,12938,8361,6565,14737,8.8,8.7,1068714,279635
12,"Fight Club",1999,8.7,2078040,704686,640431,421481,173016,59553,27541,14009,9534,7642,20147,8.8,8.7,1157827,250865
13,"Inception",2010,8.7,2310169,800382,702954,462107,195349,67399,29511,14701,9467,7689,20610,8.8,8.7,1267916,295030
14,"The Lord of the Rings: The Two Towers",2002,8.7,1631950,571427,460172,339939,141951,48610,22661,10396,7335,6271,23188,8.8,8.7,928884,202966
15,"The Empire Strikes Back",1980,8.7,1273821,434256,348445,275425,122897,40532,17467,7439,5118,4253,17989,8.8,8.5,753625,115568
16,"The Matrix",1999,8.7,1885575,573405,564415,423304,185812,63271,27856,13684,9286,7083,17459,8.8,8.4,1083112,200738
17,"Goodfellas",1990,8.7,1141421,324306,359174,280736,111761,32951,12522,5649,3535,2595,8192,8.7,8.4,698383,91144
18,"One Flew Over the Cuckoo's Nest",1975,8.6,996099,272961,318140,246693,99387,29447,11389,5105,2819,2124,8034,8.7,8.6,587271,126074
19,"Se7en",1995,8.6,1619822,375115,546561,437519,176352,44200,16310,7459,4669,3528,8109,8.7,8.5,910343,192189
20,"Shichinin no samurai",1954,8.6,343129,115133,87979,69559,33815,12624,6525,3381,2174,1968,9971,8.7,8.3,225133,24055
21,"It's a Wonderful Life",1946,8.6,450702,150532,111387,95806,49361,18785,9073,4309,2667,2172,6610,8.6,8.6,245411,70192
22,"The Silence of the Lambs",1991,8.6,1408075,330432,460705,394170,149646,39622,14282,6330,3638,2849,6401,8.6,8.6,773697,189387
23,"Cidade de Deus",2002,8.6,749431,200509,241820,185203,70753,21731,9316,4432,2714,2545,10408,8.6,8.4,491996,70725
24,"Saving Private Ryan",1998,8.6,1369697,352457,428703,350629,145689,45959,18238,8674,5450,4139,9759,8.7,8.2,822680,119718
25,"La vita è bella",1997,8.6,685990,217843,207370,147483,61571,21709,10229,5283,3289,2941,8272,8.6,8.9,369112,111189
26,"The Green Mile",1999,8.6,1279340,339825,397596,329548,134918,41236,15657,7256,4335,2848,6121,8.6,8.7,711635,167536
27,"Interstellar",2014,8.6,1776380,646116,484840,340061,170158,64386,27313,13683,8464,6371,14988,8.6,8.4,923089,181340
28,"Star Wars",1977,8.6,1346476,419378,357580,312947,149144,49326,20518,8721,5874,4806,18182,8.6,8.4,791059,129952
29,"Terminator 2: Judgment Day",1991,8.5,1084120,273035,297861,291101,139404,44869,17025,7263,3963,2766,6833,8.6,8.1,693289,82540
30,"Back to the Future",1985,8.5,1182905,303220,313016,328108,156182,48154,16884,6697,3438,2149,5057,8.6,8.4,669185,135325
31,"Sen to Chihiro no kamikakushi",2001,8.5,748272,231928,212751,168187,75655,26271,11379,5705,3411,2967,10018,8.5,8.7,376629,123439
32,"Psycho",1960,8.5,663062,159546,184795,180445,85111,27785,10881,4858,2655,1912,5074,8.5,8.4,371390,92911
